@relation "icepark_npspark"

@attribute attr0 string
@attribute relation {'icepark', 'npspark'}
@attribute class {'http://www.nps.gov/care', 'http://www.nps.gov/miss', 'http://www.nps.gov/grsp', 'http://www.nps.gov/cari', 'http://www.nps.gov/yose', 'http://www.nps.gov/dewa', 'http://www.nps.gov/mowo', 'http://www.nps.gov/carl', 'http://www.nps.gov/fair', 'http://www.nps.gov/foma', 'http://www.nps.gov/fomc', 'http://www.nps.gov/sara', 'http://www.nps.gov/peco', 'http://www.nps.gov/caca', 'http://www.nps.gov/brcr', 'http://www.nps.gov/fiis', 'http://www.nps.gov/ciro', 'http://www.nps.gov/sari', 'http://www.nps.gov/cach', 'http://www.nps.gov/wrst', 'http://www.nps.gov/fomo', 'http://www.nps.gov/npsa', 'http://www.nps.gov/grte', 'http://www.nps.gov/cacl', 'http://www.nps.gov/whho', 'http://www.nps.gov/caco', 'http://www.nps.gov/glac', 'http://www.nps.gov/casa', 'http://www.nps.gov/coga', 'http://www.nps.gov/viis', 'http://www.nps.gov/jeff', 'http://www.nps.gov/stli', 'http://www.nps.gov/parklists/cemetary.htm', 'http://www.nps.gov/neje', 'http://www.nps.gov/nabr', 'http://www.nps.gov/gree', 'http://www.nps.gov/gwmp/vapa/pht.htm', 'http://www.nps.gov/yuho', 'http://www.nps.gov/sacn', 'http://www.nps.gov/greg', 'http://www.nps.gov/fone', 'http://www.nps.gov/sacr', 'http://www.nps.gov/frhi', 'http://www.nps.gov/liho', 'http://www.nps.gov/seki', 'http://www.nps.gov/shen', 'http://www.nps.gov/pete', 'http://www.nps.gov/tosy', 'http://www.nps.gov/thrb', 'http://www.nps.gov/blac', 'http://www.nps.gov/ebla', 'http://www.nps.gov/nacc', 'http://www.nps.gov/glba', 'http://www.nps.gov/nace', 'http://www.nps.gov/thri', 'http://www.nps.gov/tapr', 'http://www.nps.gov/kala', 'http://www.nps.gov/cowp', 'http://www.nps.gov/whis', 'http://www.nps.gov/petr', 'http://www.nps.gov/daav', 'http://www.nps.gov/thro', 'http://www.nps.gov/popo', 'http://www.nps.gov/olym', 'http://www.nps.gov/beol', 'http://www.nps.gov/mava', 'http://www.nps.gov/moja', 'http://www.nps.gov/pima', 'http://www.nps.gov/cato', 'http://www.nps.gov/nico', 'http://www.nps.gov/arho', 'http://www.nps.gov/nisi', 'http://www.nps.gov/rigr', 'http://www.nps.gov/knri', 'http://www.nps.gov/hafe', 'http://www.nps.gov/wiho', 'http://www.nps.gov/glca', 'http://www.nps.gov/sitk', 'http://www.nps.gov/wupa', 'http://www.nps.gov/joda', 'http://www.nps.gov/hafo', 'http://www.nps.gov/zion', 'http://www.nps.gov/tuin', 'http://www.nps.gov/biho', 'http://www.nps.gov/thst', 'http://www.nps.gov/edis', 'http://www.nps.gov/natc', 'http://www.nps.gov/flfo', 'http://www.nps.gov/blri', 'http://www.nps.gov/pefo', 'http://www.nps.gov/ilmi', 'http://www.nps.gov/pine', 'http://www.nps.gov/brvb', 'http://www.nps.gov/klgo', 'http://www.nps.gov/rola', 'http://www.nps.gov/havo', 'http://www.nps.gov/jodr', 'http://www.nps.gov/long', 'http://www.nps.gov/kimo', 'http://www.nps.gov/ever', 'http://www.nps.gov/blca', 'http://www.nps.gov/pevi', 'http://www.nps.gov/ocmu', 'http://www.nps.gov/fopo', 'http://www.nps.gov/pinn', 'http://www.nps.gov/natr', 'http://www.nps.gov/pore', 'http://www.nps.gov/natt', 'http://www.nps.gov/fopu', 'http://www.nps.gov/gwmp', 'http://www.nps.gov/glde', 'http://www.nps.gov/lyjo', 'http://www.nps.gov/jotr', 'http://www.nps.gov/alfl', 'http://www.nps.gov/cave', 'http://www.nps.gov/lecl', 'http://www.nps.gov/kefj', 'http://www.nps.gov/tica', 'http://www.nps.gov/qush', 'http://www.nps.gov/hagr', 'http://www.nps.gov/scbl', 'http://www.nps.gov/vama', 'http://www.nps.gov/cavo', 'http://www.nps.gov/tuzi', 'http://www.nps.gov/safr', 'http://www.nps.gov/gero', 'http://www.nps.gov/iatr', 'http://www.nps.gov/yell', 'http://www.nps.gov/dela', 'http://www.nps.gov/chic', 'http://www.nps.gov/orpi', 'http://www.nps.gov/dele', 'http://www.nps.gov/glec', 'http://www.nps.gov/saga', 'http://www.nps.gov/romo', 'http://www.nps.gov/cagr', 'http://www.nps.gov/frla', 'http://www.nps.gov/amer', 'http://www.nps.gov/nava', 'http://www.nps.gov/chir', 'http://www.nps.gov/fobo', 'http://www.nps.gov/chis', 'http://www.nps.gov/jofi', 'http://www.nps.gov/fora', 'http://www.nps.gov/jofl', 'http://www.nps.gov/kewe', 'http://www.nps.gov/fobu', 'http://www.nps.gov/caha', 'http://www.nps.gov/pipe', 'http://www.nps.gov/guco', 'http://www.nps.gov/shil', 'http://www.nps.gov/sagu', 'http://www.nps.gov/asis', 'http://www.nps.gov/puhe', 'http://www.nps.gov/clba', 'http://www.nps.gov/whmi', 'http://www.nps.gov/jica', 'http://www.nps.gov/abli', 'http://www.nps.gov/ande', 'http://www.nps.gov/foca', 'http://www.nps.gov/puho', 'http://www.nps.gov/ozar', 'http://www.nps.gov/paal', 'http://www.nps.gov/lame', 'http://www.nps.gov/hstr', 'http://www.nps.gov/focl', 'http://www.nps.gov/sahi', 'http://www.nps.gov/slbe', 'http://www.nps.gov/paav', 'http://www.nps.gov/blue', 'http://www.nps.gov/home', 'http://www.nps.gov/ruca', 'http://www.nps.gov/fosc', 'http://www.nps.gov/colm', 'http://www.nps.gov/obri', 'http://www.nps.gov/lamr', 'http://www.nps.gov/anti', 'http://www.nps.gov/colo', 'http://www.nps.gov/upde', 'http://www.nps.gov/neor', 'http://www.nps.gov/gett', 'http://www.nps.gov/feha', 'http://www.nps.gov/fosm', 'http://www.nps.gov/tuma', 'http://www.nps.gov/dena', 'http://www.nps.gov/mono', 'http://www.nps.gov/foda', 'http://www.nps.gov/poex', 'http://www.nps.gov/jela', 'http://www.nps.gov/fost', 'http://www.nps.gov/isro', 'http://www.nps.gov/fosu', 'http://www.nps.gov/elma', 'http://www.nps.gov/stri', 'http://www.nps.gov/orca', 'http://www.nps.gov/linc', 'http://www.nps.gov/eise', 'http://www.nps.gov/nepe', 'http://www.nps.gov/fodo', 'http://www.nps.gov/elmo', 'http://www.nps.gov/sair', 'http://www.nps.gov/foth', 'http://www.nps.gov/redw', 'http://www.nps.gov/grko', 'http://www.nps.gov/wamo', 'http://www.nps.gov/boaf', 'http://www.nps.gov/drto', 'http://www.nps.gov/piro', 'http://www.nps.gov/cebr', 'http://www.nps.gov/wefa', 'http://www.nps.gov/sajh', 'http://www.nps.gov/pisc', 'http://www.nps.gov/cure', 'http://www.nps.gov/malu', 'http://www.nps.gov/kova', 'http://www.nps.gov/malw', 'http://www.nps.gov/saju', 'http://www.nps.gov/band', 'http://www.nps.gov/mopi', 'http://www.nps.gov/this', 'http://www.nps.gov/foun', 'http://www.nps.gov/obed', 'http://www.nps.gov/nebe', 'http://www.nps.gov/hale', 'http://www.nps.gov/pisp', 'http://www.nps.gov/fous', 'http://www.nps.gov/mamc', 'http://www.nps.gov/mnrr', 'http://www.nps.gov/cakr', 'http://www.nps.gov/wori', 'http://www.nps.gov/gwca', 'http://www.nps.gov/apco', 'http://www.nps.gov/buff', 'http://www.nps.gov/gewa', 'http://www.nps.gov/mima', 'http://www.nps.gov/gegr', 'http://www.nps.gov/depo', 'http://www.nps.gov/amis', 'http://www.nps.gov/thje', 'http://www.nps.gov/fova', 'http://www.nps.gov/stea', 'http://www.nps.gov/oreg', 'http://www.nps.gov/fofr', 'http://www.nps.gov/neri', 'http://www.nps.gov/jaga', 'http://www.nps.gov/cali', 'http://www.nps.gov/gosp', 'http://www.nps.gov/usar', 'http://www.nps.gov/sucr', 'http://www.nps.gov/agfo', 'http://www.nps.gov/mana', 'http://www.nps.gov/tupe', 'http://www.nps.gov/calo', 'http://www.nps.gov/hutr', 'http://www.nps.gov/roca', 'http://www.nps.gov/hamp', 'http://www.nps.gov/wapa', 'http://www.nps.gov/vick', 'http://www.nps.gov/fowa', 'http://www.nps.gov/katm', 'http://www.nps.gov/meve', 'http://www.nps.gov/mora', 'http://www.nps.gov/arpo', 'http://www.nps.gov/labe', 'http://www.nps.gov/thko', 'http://www.nps.gov/rocr', 'http://www.nps.gov/edal', 'http://www.nps.gov/manz', 'http://www.nps.gov/aptr', 'http://www.nps.gov/bost', 'http://www.nps.gov/ania', 'http://www.nps.gov/gaar', 'http://www.nps.gov/hobe', 'http://www.nps.gov/libi', 'http://www.nps.gov/moca', 'http://www.nps.gov/morr', 'http://www.nps.gov/sama', 'http://www.nps.gov/choh', 'http://www.nps.gov/moru', 'http://www.nps.gov/libo', 'http://www.nps.gov/efmo', 'http://www.nps.gov/moci', 'http://www.nps.gov/lyba', 'http://www.nps.gov/wotr', 'http://www.nps.gov/kemo', 'http://www.nps.gov/laro', 'http://www.nps.gov/samo', 'http://www.nps.gov/liri', 'http://www.nps.gov/mocr', 'http://www.nps.gov/whsa', 'http://www.nps.gov/cana', 'http://www.nps.gov/euon', 'http://www.nps.gov/guis', 'http://www.nps.gov/lach', 'http://www.nps.gov/yuch', 'http://www.nps.gov/waba', 'http://www.nps.gov/lacl', 'http://www.nps.gov/nama', 'http://www.nps.gov/noaa', 'http://www.nps.gov/crla', 'http://www.nps.gov/gari', 'http://www.nps.gov/chpi', 'http://www.nps.gov/tont', 'http://www.nps.gov/muwo', 'http://www.nps.gov/anjo', 'http://www.nps.gov/acad', 'http://www.nps.gov/deso', 'http://www.nps.gov/cany', 'http://www.nps.gov/nimi', 'http://www.nps.gov/cuva', 'http://www.nps.gov/hocu', 'http://www.nps.gov/noat', 'http://www.nps.gov/elro', 'http://www.nps.gov/bibe', 'http://www.nps.gov/maac', 'http://www.nps.gov/coro', 'http://www.nps.gov/buis', 'http://www.nps.gov/lowe', 'http://www.nps.gov/grpo', 'http://www.nps.gov/cham', 'http://www.nps.gov/hosp', 'http://www.nps.gov/frsp', 'http://www.nps.gov/jomu', 'http://www.nps.gov/waca', 'http://www.nps.gov/arch', 'http://www.nps.gov/goga', 'http://www.nps.gov/voya', 'http://www.nps.gov/gicl', 'http://www.nps.gov/cuga', 'http://www.nps.gov/chat', 'http://www.nps.gov/azru', 'http://www.nps.gov/wica', 'http://www.nps.gov/heho', 'http://www.nps.gov/rabr', 'http://www.nps.gov/frdo', 'http://www.nps.gov/vafo', 'http://www.nps.gov/deto', 'http://www.nps.gov/bica', 'http://www.nps.gov/crmo', 'http://www.nps.gov/jeca', 'http://www.nps.gov/wicr', 'http://www.nps.gov/spar', 'http://www.nps.gov/coda', 'http://www.nps.gov/rova', 'http://www.nps.gov/mabi', 'http://www.nps.gov/vive', 'http://www.nps.gov/ulsg', 'http://www.nps.gov/cosw', 'http://www.nps.gov/grba', 'http://www.nps.gov/inde', 'http://www.nps.gov/fred', 'http://www.nps.gov/noca', 'http://www.nps.gov/bisc', 'http://www.nps.gov/gate', 'http://www.nps.gov/kaho', 'http://www.nps.gov/sapa', 'http://www.nps.gov/rich', 'http://www.nps.gov/chri', 'http://www.nps.gov/bicy', 'http://www.nps.gov/bowa', 'http://www.nps.gov/chro', 'http://www.nps.gov/alpo', 'http://www.nps.gov/pais', 'http://www.nps.gov/biso', 'http://www.nps.gov/noco', 'http://www.nps.gov/indu', 'http://www.nps.gov/maca', 'http://www.nps.gov/adam', 'http://www.nps.gov/badl', 'http://www.nps.gov/bela', 'http://www.nps.gov/alag', 'http://www.nps.gov/chch', 'http://www.nps.gov/sapu', 'http://www.nps.gov/boha', 'http://www.nps.gov/wrbr', 'http://www.nps.gov/grca', 'http://www.nps.gov/timu', 'http://www.nps.gov/deva', 'http://www.nps.gov/rowi', 'http://www.nps.gov/prwi', 'http://www.nps.gov/fola', 'http://www.nps.gov/saan', 'http://www.nps.gov/chcu', 'http://www.nps.gov/bith', 'http://www.nps.gov/fdrm', 'http://www.nps.gov/dino', 'http://www.nps.gov/apis', 'http://www.nps.gov/grsa', 'http://www.nps.gov/hofr', 'http://www.nps.gov/peri', 'http://www.nps.gov/hofu', 'http://www.nps.gov/hove', 'http://www.nps.gov/lavo', 'http://www.nps.gov/fols', 'http://www.nps.gov/cuis', 'http://www.nps.gov/brca', 'http://www.nps.gov/cabr', 'http://www.nps.gov/gumo', 'http://www.nps.gov/grsm'}

@data
"Wind Cave NP", 'icepark', 'http://www.nps.gov/wica'
"Wolf Trap Farm Park", 'icepark', 'http://www.nps.gov/wotr'
"Wrangell-St. Ellias NP & Preserve", 'icepark', 'http://www.nps.gov/wrst'
"Wupatki NM", 'icepark', 'http://www.nps.gov/wupa'
"Yellowstone NP", 'icepark', 'http://www.nps.gov/yell'
"Yosemite NP", 'icepark', 'http://www.nps.gov/yose'
"Yucca House NM", 'icepark', 'http://www.nps.gov/yuho'
"Yukon-Charley Rivers N. Preserve", 'icepark', 'http://www.nps.gov/yuch'
"Zion NP", 'icepark', 'http://www.nps.gov/zion'
"Agate Fossil Beds NM", 'icepark', 'http://www.nps.gov/agfo'
"Buck Island Reef NM", 'icepark', 'http://www.nps.gov/buis'
"Cedar Breaks NM", 'icepark', 'http://www.nps.gov/cebr'
"Channel Islands NP", 'icepark', 'http://www.nps.gov/chis'
"El Malpais NM", 'icepark', 'http://www.nps.gov/elma'
"Frederick Law Olmsted NHS", 'icepark', 'http://www.nps.gov/frla'
"Glacier Bay NP & Preserve", 'icepark', 'http://www.nps.gov/glba'
"Katmai NP & Preserve", 'icepark', 'http://www.nps.gov/katm'
"Kobuk Valley NP", 'icepark', 'http://www.nps.gov/kova'
"Lake Clark NP & Preserve", 'icepark', 'http://www.nps.gov/lacl'
"Lake Meredith NRA", 'icepark', 'http://www.nps.gov/lamr'
"Manassas NBP", 'icepark', 'http://www.nps.gov/mana'
"Natural Bridges NM", 'icepark', 'http://www.nps.gov/nabr'
"Ninety Six NHS", 'icepark', 'http://www.nps.gov/nisi'
"Pictured Rocks NL", 'icepark', 'http://www.nps.gov/piro'
"Pipe Spring NM", 'icepark', 'http://www.nps.gov/pisp'
"Sagamore Hill NHS", 'icepark', 'http://www.nps.gov/sahi'
"Timpanogas Caves NM", 'icepark', 'http://www.nps.gov/tica'
